,Date,close,high,low,open,volume
2864,5/8/2013,6.92320013,6.936100006,6.914199829,6.923099995,0
2865,5/9/2013,6.818399906,6.945199966,6.81829977,6.81829977,0
2866,5/10/2013,6.938399792,6.944300175,6.929299831,6.939700127,0
2867,5/13/2013,6.85559988,6.953100204,6.845799923,6.85529995,0
2868,5/14/2013,6.94080019,6.95389986,6.937799931,6.944699764,0
2869,5/15/2013,6.945799828,6.957600117,6.938000202,6.946000099,0
2870,5/16/2013,6.945099831,6.964799881,6.943799973,6.945199966,0
2871,5/17/2013,6.957399845,6.964300156,6.948999882,6.958000183,0
2872,5/20/2013,6.870299816,6.969600201,6.862800121,6.874300003,0
2873,5/21/2013,6.960800171,6.970099926,6.953999996,6.961200237,0
2874,5/22/2013,6.961200237,6.972099781,6.955200195,6.960599899,0
2875,5/23/2013,6.966700077,6.970300198,6.9520998,6.964900017,0
2876,5/24/2013,6.966100216,6.96999979,6.955299854,6.967199802,0
2877,5/27/2013,6.877600193,6.968299866,6.879199982,6.879199982,0
2878,5/28/2013,6.962299824,6.970499992,6.95539999,6.961100101,0
2879,5/29/2013,6.962999821,6.972499847,6.954500198,6.962999821,0
2880,5/30/2013,6.963699818,6.972199917,6.956200123,6.963300228,0
2881,5/31/2013,6.96420002,6.971899986,6.957300186,6.964399815,0
2882,6/3/2013,6.866600037,6.972599983,6.856400013,6.866799831,0
2883,6/4/2013,6.966300011,6.974599838,6.959799767,6.966199875,0
2884,6/5/2013,6.969099998,6.975399971,6.953700066,6.969799995,0
2885,6/6/2013,6.967599869,6.977399826,6.960400105,6.968100071,0
2886,6/7/2013,6.97149992,6.979300022,6.961800098,6.97149992,0
2887,6/10/2013,6.88929987,6.977900028,6.886400223,6.88929987,0
2888,6/11/2013,6.97149992,6.980000019,6.963699818,6.970900059,0
2889,6/12/2013,6.971700191,6.980000019,6.965000153,6.970900059,0
2890,6/13/2013,6.969900131,6.981900215,6.965199947,6.971300125,0
2891,6/14/2013,6.974899769,6.981699944,6.967999935,6.97329998,0
2892,6/17/2013,6.865300179,6.984300137,6.861000061,6.864600182,0
2893,6/18/2013,6.975800037,6.983799934,6.96600008,6.976399899,0
2894,6/19/2013,6.979300022,6.985499859,6.970499992,6.979899883,0
2895,6/20/2013,6.980800152,6.991099834,6.972300053,6.982699871,0
2896,6/21/2013,6.980199814,6.994900227,6.977399826,6.981299877,0
2897,6/24/2013,6.99630022,6.997000217,6.942599773,6.997000217,0
2898,6/25/2013,6.986700058,6.999899864,6.98239994,6.987199783,0
2899,6/26/2013,6.989699841,7.003900051,6.980000019,6.989200115,0
2900,6/27/2013,6.992899895,7.007400036,6.96999979,6.991899967,0
2901,6/28/2013,7.001200199,7.007500172,6.96999979,7.00180006,0
2902,7/1/2013,6.933400154,7.006299973,6.933400154,6.933400154,0
2903,7/2/2013,6.998099804,7.007900238,6.992800236,6.998099804,0
2904,7/3/2013,6.999199867,7.017000198,6.993400097,7,0
2905,7/4/2013,7.006700039,7.017399788,7.001900196,7.008299828,0
2906,7/5/2013,7.010700226,7.017399788,6.989999771,7.010200024,0
2907,7/8/2013,7.010900021,7.110300064,6.941299915,7.011799812,0
2908,7/9/2013,7.000899792,7.008100033,6.993400097,7.001399994,0
2909,7/10/2013,7.00150013,7.006499767,6.983500004,6.999700069,0
2910,7/11/2013,6.983500004,7.000999928,6.971300125,6.994400024,0
2911,7/12/2013,6.978899956,7.005000114,6.97149992,6.979100227,0
2912,7/15/2013,6.874199867,7.005000114,6.864999771,6.87349987,0
2913,7/16/2013,6.985799789,6.992499828,6.975200176,6.984099865,0
2914,7/17/2013,6.985899925,6.991600037,6.972899914,6.982800007,0
2915,7/18/2013,6.983099937,6.991099834,6.97660017,6.983399868,0
2916,7/19/2013,6.983300209,6.989999771,6.975599766,6.98239994,0
2917,7/22/2013,6.863800049,6.991499901,6.858099937,6.863500118,0
2918,7/23/2013,6.984300137,6.991000175,6.976099968,6.9854002,0
2919,7/24/2013,6.983300209,6.991300106,6.973400116,6.984899998,0
2920,7/25/2013,6.986199856,6.99090004,6.975699902,6.986000061,0
2921,7/26/2013,6.985499859,6.989999771,6.975599766,6.985300064,0
2922,7/29/2013,6.880300045,6.990200043,6.876299858,6.880099773,0
2923,7/30/2013,6.982699871,6.989999771,6.975500107,6.983799934,0
2924,7/31/2013,6.979499817,6.988200188,6.973800182,6.977200031,0
2925,8/1/2013,6.980400085,6.988599777,6.96449995,6.981200218,0
2926,8/2/2013,6.972099781,6.989999771,6.956999779,6.972099781,0
2927,8/5/2013,6.974599838,6.994999886,6.969900131,6.974599838,0
2928,8/6/2013,6.974699974,6.982699871,6.968400002,6.975200176,0
2929,8/7/2013,6.979000092,6.98239994,6.963300228,6.979599953,0
2930,8/8/2013,6.969500065,6.975900173,6.958899975,6.969399929,0
2931,8/9/2013,6.966300011,6.982500076,6.960999966,6.966100216,0
2932,8/12/2013,6.96750021,6.981599808,6.960999966,6.967000008,0
2933,8/13/2013,6.970099926,6.977499962,6.964099884,6.971300125,0
2934,8/14/2013,6.970499992,6.976699829,6.963699818,6.96969986,0
