"Date","Price","Open","High","Low","Vol.","Change %"
"22-11-2018","30,609","30,855","30,880","30,568","7.46K","-0.70%"
"21-11-2018","30,825","30,775","30,895","30,725","7.09K","0.04%"
"20-11-2018","30,814","30,787","30,990","30,758","7.04K","-0.21%"
"19-11-2018","30,879","31,010","31,040","30,765","8.24K","-0.41%"
"16-11-2018","31,007","30,845","31,147","30,810","8.58K","0.60%"
"15-11-2018","30,821","30,924","30,937","30,720","7.28K","0.00%"
"14-11-2018","30,822","30,704","30,846","30,605","8.00K","0.17%"
"13-11-2018","30,769","30,909","30,919","30,751","7.16K","-0.75%"
"12-11-2018","31,001","31,100","31,169","30,969","6.43K","-0.05%"
"09-11-2018","31,016","31,310","31,372","30,942","7.95K","-1.24%"
"08-11-2018","31,406","31,501","31,501","31,212","4.91K","-0.58%"
"07-11-2018","31,589","31,687","31,687","31,551","1.71K","-0.18%"
"06-11-2018","31,646","31,718","31,876","31,632","7.65K","-0.18%"
"05-11-2018","31,702","31,736","31,835","31,681","7.12K","-0.15%"
"02-11-2018","31,750","31,821","31,835","31,600","12.46K","-0.45%"
"01-11-2018","31,892","31,787","31,938","31,745","9.54K","0.45%"
"31-10-2018","31,748","31,851","31,899","31,711","9.79K","-0.28%"
"30-10-2018","31,837","31,919","31,939","31,760","8.86K","-0.16%"
"29-10-2018","31,888","31,903","32,020","31,846","7.51K","-0.15%"
"26-10-2018","31,937","31,964","32,213","31,901","15.77K","0.24%"
"25-10-2018","31,861","32,114","32,114","31,841","11.68K","-0.16%"
"24-10-2018","31,913","31,970","32,029","31,785","10.65K","-0.47%"
"23-10-2018","32,064","31,965","32,280","31,958","13.04K","0.53%"
"22-10-2018","31,894","31,880","31,916","31,800","6.47K","-0.03%"
"19-10-2018","31,902","32,047","32,047","31,863","6.92K","-0.53%"
"18-10-2018","32,072","31,937","32,097","31,826","4.79K","0.66%"
"17-10-2018","31,861","31,834","32,020","31,783","8.24K","-0.02%"
"16-10-2018","31,868","32,072","32,160","31,851","9.90K","-0.62%"
"15-10-2018","32,066","31,900","32,311","31,831","12.86K","0.69%"
"12-10-2018","31,846","31,898","31,898","31,730","8.34K","-0.45%"
"11-10-2018","31,991","31,447","32,014","31,431","14.88K","1.94%"
"10-10-2018","31,381","31,366","31,395","31,267","6.28K","0.31%"
"09-10-2018","31,283","31,305","31,400","31,231","7.15K","0.20%"
"08-10-2018","31,220","31,531","31,531","31,202","9.59K","0.21%"
"05-10-2018","31,154","30,950","31,429","30,925","0.01K","0.08%"
"04-10-2018","31,130","31,053","31,180","31,000","0.03K","0.39%"
"03-10-2018","31,009","31,350","31,350","30,840","0.10K","1.36%"
"01-10-2018","30,592","30,501","30,694","30,370","0.86K","0.36%"
"28-09-2018","30,481","30,328","30,520","30,220","7.80K","0.52%"
"27-09-2018","30,324","30,635","30,665","30,300","10.22K","-0.88%"
"26-09-2018","30,593","30,800","30,810","30,567","10.01K","-0.73%"
"25-09-2018","30,819","30,797","30,847","30,730","8.81K","-0.07%"
"24-09-2018","30,842","30,613","30,892","30,595","9.00K","0.85%"
"21-09-2018","30,582","30,700","30,904","30,485","13.38K","-0.06%"
"20-09-2018","30,599","30,600","30,670","30,562","3.93K","-0.09%"
"19-09-2018","30,627","30,716","30,928","30,613","11.31K","-0.54%"
"18-09-2018","30,793","30,707","30,928","30,644","9.41K","0.06%"
"17-09-2018","30,776","30,558","30,800","30,558","11.69K","1.12%"
"14-09-2018","30,436","30,533","30,637","30,370","10.63K","-0.05%"
"13-09-2018","30,450","30,604","30,679","30,424","5.37K","-0.66%"
"12-09-2018","30,651","30,721","30,765","30,410","13.76K","-0.21%"
"11-09-2018","30,717","30,630","30,738","30,535","9.95K","0.01%"
"10-09-2018","30,715","30,569","30,729","30,495","8.72K","0.72%"
"07-09-2018","30,494","30,544","30,544","30,385","8.84K","-0.17%"
"06-09-2018","30,547","30,400","30,700","30,400","12.75K","0.77%"
"05-09-2018","30,315","30,219","30,437","30,219","8.71K","0.45%"
"04-09-2018","30,178","30,265","30,298","30,137","9.61K","-0.49%"
"03-09-2018","30,327","30,100","30,347","30,070","6.78K","0.66%"
"31-08-2018","30,129","30,294","30,359","30,110","10.13K","-0.14%"
"30-08-2018","30,170","30,151","30,316","30,110","9.35K","-0.06%"
"29-08-2018","30,188","30,004","30,200","30,003","7.96K","0.55%"
"28-08-2018","30,024","30,055","30,210","30,001","9.00K","0.07%"
"27-08-2018","30,002","29,910","30,081","29,883","6.68K","0.33%"
"24-08-2018","29,903","29,600","29,967","29,570","9.85K","1.00%"
"23-08-2018","29,608","29,628","29,680","29,540","7.26K","-0.24%"
"22-08-2018","29,678","29,700","29,795","29,636","4.74K","0.25%"
"21-08-2018","29,605","29,548","29,627","29,501","6.88K","0.37%"
"20-08-2018","29,497","29,465","29,525","29,423","5.91K","0.50%"
"17-08-2018","29,349","29,330","29,451","29,268","6.59K","0.06%"
"16-08-2018","29,330","29,600","29,600","29,283","10.98K","-1.36%"
"14-08-2018","29,735","29,700","29,817","29,640","6.15K","0.03%"
"13-08-2018","29,725","29,826","29,893","29,705","8.96K","-0.19%"
"10-08-2018","29,783","29,696","29,815","29,602","7.34K","0.39%"
"09-08-2018","29,668","29,640","29,734","29,585","5.71K","0.20%"
"08-08-2018","29,610","29,626","29,694","29,546","6.90K","0.04%"
"07-08-2018","29,597","29,668","29,734","29,585","5.90K","-0.11%"
"06-08-2018","29,629","29,690","29,697","29,610","4.24K","0.48%"
"03-08-2018","29,486","29,411","29,900","29,400","0.01K","0.00%"
